latitude,longitude,country_name,final_cluster,actual_continent
-19.054445,-169.867233,Niue,4,Oceania
-29.040835,167.954712,Norfolk Island,4,Oceania
40.339852,127.510093,North Korea,2,Asia
15.0979,145.6739,Northern Mariana Islands,2,Oceania
60.472024,8.468946,Norway,0,Europe
21.4735329,55.975413,Oman,0,Asia
30.375321,69.345116,Pakistan,2,Asia
7.51498,134.58252,Palau,2,Oceania
31.952162,35.233154,Palestine,0,Asia
8.537981,-80.782127,Panama,1,Americas
-6.314993,143.95555,Papua New Guinea,4,Oceania
-23.442503,-58.443832,Paraguay,1,Americas
-9.189967,-75.015152,Peru,1,Americas
12.879721,121.774017,Philippines,2,Asia
-24.3767537,-128.3242376,Pitcairn Islands,4,
51.919438,19.145136,Poland,0,Europe
39.399872,-8.224454,Portugal,0,Europe
18.220833,-66.590149,Puerto Rico,1,Americas
25.354826,51.183884,Qatar,0,Asia
45.943161,24.96676,Romania,0,Europe
61.52401,105.318756,Russia,2,Europe
-1.940278,29.873888,Rwanda,3,Africa
-21.115141,55.536384,Reunion,3,
-13.759029,-172.104629,Samoa,4,Oceania
43.94236,12.457777,San Marino,0,Europe
23.885942,45.079162,Saudi Arabia,0,Asia
14.497401,-14.452362,Senegal,3,Africa
44.016521,21.005859,Serbia,0,Europe
-4.679574,55.491977,Seychelles,3,Africa
8.460555,-11.779889,Sierra Leone,3,Africa
1.352083,103.819836,Singapore,2,Asia
18.04248,-63.05483,Sint Maarten,1,
48.669026,19.699024,Slovakia,0,Europe
46.151241,14.995463,Slovenia,0,Europe
-9.64571,160.156194,Solomon Islands,4,Oceania
5.152149,46.199616,Somalia,3,Africa
-30.559482,22.937506,South Africa,3,Africa
-54.429579,-36.587909,South Georgia & South Sandwich Islands,3,
35.907757,127.766922,South Korea,2,Asia
6.8769919,31.3069788,South Sudan,3,Africa
40.463667,-3.74922,Spain,0,Europe
7.873054,80.771797,Sri Lanka,2,Asia
17.9,-62.833333,St. Barthelemy,1,
-15.9650104,-5.7089241,St. Helena,3,
17.357822,-62.782998,St. Kitts & Nevis,1,
13.909444,-60.978893,St. Lucia,1,Americas
18.0708298,-63.0500809,St. Martin,1,Americas
46.8852,-56.3159,St. Pierre & Miquelon,1,
12.984305,-61.287228,St. Vincent & Grenadines,1,
12.862807,30.217636,Sudan,3,Africa
3.919305,-56.027783,Suriname,1,Americas
77.553604,23.6702719,Svalbard & Jan Mayen,0,
-26.522503,31.465866,Swaziland,3,Africa
60.128161,18.643501,Sweden,0,Europe
46.818188,8.227512,Switzerland,0,Europe
34.802075,38.996815,Syria,0,Asia
0.18636,6.613081,Sao Tome & Principe,3,
23.69781,120.960515,Taiwan,2,Asia
38.861034,71.276093,Tajikistan,2,Asia
-6.369028,34.888822,Tanzania,3,Africa
15.870032,100.992541,Thailand,2,Asia
-8.874217,125.727539,Timor-Leste,2,
8.619543,0.824782,Togo,3,Africa
-9.2002,-171.8484,Tokelau,4,Oceania
-21.178986,-175.198242,Tonga,4,Oceania
10.691803,-61.222503,Trinidad & Tobago,1,
33.886917,9.537499,Tunisia,0,Africa
38.963745,35.243322,Turkey,0,Asia
38.969719,59.556278,Turkmenistan,0,Asia
21.694025,-71.797928,Turks & Caicos Islands,1,
-7.109535,177.64933,Tuvalu,4,Oceania
19.2823192,166.647047,U.S. Outlying Islands,4,
18.335765,-64.896335,U.S. Virgin Islands,1,
55.378051,-3.435973,UK,0,
40.7605367,-73.9788903,US,1,
1.373333,32.290275,Uganda,3,Africa
48.379433,31.1655799,Ukraine,0,Europe
23.424076,53.847818,United Arab Emirates,0,Asia
-32.522779,-55.765835,Uruguay,1,Americas
41.377491,64.585262,Uzbekistan,0,Asia
-15.376706,166.959158,Vanuatu,4,Oceania
41.902916,12.453389,Vatican City,0,
6.42375,-66.58973,Venezuela,1,Americas
14.058324,108.277199,Vietnam,2,Asia
-14.2938,-178.1165,Wallis & Futuna,4,
24.215527,-12.885834,Western Sahara,0,
15.552727,48.516388,Yemen,3,Asia
-13.133897,27.849332,Zambia,3,Africa
-19.015438,29.154857,Zimbabwe,3,Africa
60.1785247,19.9156105,Aland Islands,0,
